id;day_date;full_date;day_number;day_name;day_name_short;is_week_day;month_number;month_name;month_name_short;trimester_number;trimester_name;semester_number;semester_name;year
19960513;13/05/1996;segunda-feira, 13 de maio de 1996;13;segunda-feira;seg;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960514;14/05/1996;terça-feira, 14 de maio de 1996;14;terça-feira;ter;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960515;15/05/1996;quarta-feira, 15 de maio de 1996;15;quarta-feira;qua;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960516;16/05/1996;quinta-feira, 16 de maio de 1996;16;quinta-feira;qui;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960517;17/05/1996;sexta-feira, 17 de maio de 1996;17;sexta-feira;sex;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960518;18/05/1996;sábado, 18 de maio de 1996;18;sábado;sab;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960519;19/05/1996;domingo, 19 de maio de 1996;19;domingo;dom;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960520;20/05/1996;segunda-feira, 20 de maio de 1996;20;segunda-feira;seg;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960521;21/05/1996;terça-feira, 21 de maio de 1996;21;terça-feira;ter;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960522;22/05/1996;quarta-feira, 22 de maio de 1996;22;quarta-feira;qua;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960523;23/05/1996;quinta-feira, 23 de maio de 1996;23;quinta-feira;qui;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960524;24/05/1996;sexta-feira, 24 de maio de 1996;24;sexta-feira;sex;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960525;25/05/1996;sábado, 25 de maio de 1996;25;sábado;sab;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960526;26/05/1996;domingo, 26 de maio de 1996;26;domingo;dom;não;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960527;27/05/1996;segunda-feira, 27 de maio de 1996;27;segunda-feira;seg;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960528;28/05/1996;terça-feira, 28 de maio de 1996;28;terça-feira;ter;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
19960529;29/05/1996;quarta-feira, 29 de maio de 1996;29;quarta-feira;qua;sim;5;maio;mai;2;2º Trimestre;1;1º Semestre;1996
